,run,epoch,loss,accuracy,epoch_duration,run_duration,lr,batch_size,num_workers,device
0,1,1,1.0159322788318,0.6079,16.006017923355103,16.971747398376465,0.01,1000,0,cuda
1,2,1,1.0393812080224356,0.5979,14.61277961730957,15.636094808578491,0.01,1000,0,cpu
2,3,1,0.9760975629091263,0.6317833333333334,10.878561735153198,13.843743324279785,0.01,1000,1,cuda
3,4,1,0.9559860547383626,0.6343,12.898679733276367,16.103338718414307,0.01,1000,1,cpu
4,5,1,2.140763302644094,0.18293333333333334,11.000007390975952,18.50592803955078,0.01,10000,0,cuda
5,6,1,2.2212772369384766,0.15043333333333334,13.049731254577637,21.425448894500732,0.01,10000,0,cpu
6,7,1,2.1324758330980935,0.19788333333333333,10.122981548309326,19.830830097198486,0.01,10000,1,cuda
7,8,1,2.12960684299469,0.21576666666666666,10.961225986480713,21.86236047744751,0.01,10000,1,cpu
8,9,1,2.258637269337972,0.19481666666666667,11.92446255683899,22.43245220184326,0.01,20000,0,cuda
9,10,1,2.2892749309539795,0.12325,13.810182094573975,27.138646841049194,0.01,20000,0,cpu
10,11,1,2.2654170195261636,0.15055,10.463000297546387,26.21684217453003,0.01,20000,1,cuda
11,12,1,2.2918995221455893,0.11913333333333333,12.433502435684204,30.91085696220398,0.01,20000,1,cpu
